Scenario,Model,threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,net_benefit_gain_vs_best_default
Without Symptoms,Random Forest,0.25,0.0352802359882006,-0.1466666666666666,0.0,0.0352802359882006
Without Symptoms,Random Forest,0.26,0.03291078689308777,-0.16216216216216217,0.0,0.03291078689308777
Without Symptoms,Random Forest,0.27,0.030488544065947386,-0.1780821917808219,0.0,0.030488544065947386
Without Symptoms,Random Forest,0.28,0.029793510324483775,-0.19444444444444448,0.0,0.029793510324483775
Without Symptoms,Random Forest,0.29,0.02689766920104699,-0.2112676056338028,0.0,0.02689766920104699
Without Symptoms,Random Forest,0.3,0.025537294563843235,-0.2285714285714286,0.0,0.025537294563843235
Without Symptoms,Random Forest,0.31,0.02278568680261639,-0.24637681159420294,0.0,0.02278568680261639
Without Symptoms,Random Forest,0.32,0.021811556480999472,-0.2647058823529412,0.0,0.021811556480999472
Without Symptoms,Random Forest,0.33,0.021238938053097345,-0.28358208955223885,0.0,0.021238938053097345
Without Symptoms,Random Forest,0.34,0.02003218020917135,-0.3030303030303031,0.0,0.02003218020917135
Without Symptoms,Random Forest,0.35,0.018774676650782845,-0.32307692307692304,0.0,0.018774676650782845
Without Symptoms,Random Forest,0.36,0.017787610619469027,-0.34375,0.0,0.017787610619469027
Without Symptoms,Random Forest,0.37,0.018957718780727627,-0.3650793650793651,0.0,0.018957718780727627
Without Symptoms,Random Forest,0.38,0.01795032829003711,-0.3870967741935484,0.0,0.01795032829003711
Without Symptoms,Random Forest,0.39,0.01755404033077035,-0.4098360655737705,0.0,0.01755404033077035
Without Symptoms,Random Forest,0.4,0.01646017699115044,-0.43333333333333335,0.0,0.01646017699115044
Without Symptoms,Random Forest,0.41,0.013937303134843261,-0.4576271186440676,0.0,0.013937303134843261
Without Symptoms,Random Forest,0.42,0.013079035703387247,-0.482758620689655,0.0,0.013079035703387247
Without Symptoms,Random Forest,0.43,0.013507219375873316,-0.5087719298245613,0.0,0.013507219375873316
Without Symptoms,Random Forest,0.44,0.01299620733249052,-0.5357142857142857,0.0,0.01299620733249052
Without Symptoms,Random Forest,0.45,0.011456154465004025,-0.5636363636363636,0.0,0.011456154465004025
Without Symptoms,Random Forest,0.46,0.011170108161258603,-0.5925925925925926,0.0,0.011170108161258603
Without Symptoms,Random Forest,0.47,0.010702955418266822,-0.6226415094339621,0.0,0.010702955418266822
Without Symptoms,Random Forest,0.48,0.009965963240299525,-0.6538461538461537,0.0,0.009965963240299525
Without Symptoms,Random Forest,0.49,0.00903348950199549,-0.6862745098039215,0.0,0.00903348950199549
Without Symptoms,Random Forest,0.5,0.008672566371681418,-0.72,0.0,0.008672566371681418
Without Symptoms,Neural Network,0.02,0.11920173379086148,0.12244897959183675,0.0,-0.003247245800975268
Without Symptoms,Neural Network,0.03,0.11169053918438097,0.11340206185567012,0.0,-0.0017115226712891424
Without Symptoms,Neural Network,0.04,0.10444690265486725,0.10416666666666669,0.0,0.0002802359882005667
Without Symptoms,Neural Network,0.05,0.09808104331625522,0.09473684210526317,0.0,0.0033442012109920483
Without Symptoms,Neural Network,0.06,0.09156467708529467,0.08510638297872342,0.0,0.006458294106571255
Without Symptoms,Neural Network,0.07,0.08686649538490815,0.07526881720430108,0.0,0.011597678180607071
Without Symptoms,Neural Network,0.08,0.0815544440169296,0.06521739130434784,0.0,0.016337052712581762
Without Symptoms,Neural Network,0.09,0.07647379169503063,0.05494505494505496,0.0,0.02152873674997567
Without Symptoms,Neural Network,0.1,0.07142576204523107,0.04444444444444445,0.0,0.02698131760078662
Without Symptoms,Neural Network,0.11,0.06771403002883564,0.03370786516853934,0.0,0.0340061648602963
