Scenario,Model,threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,net_benefit_gain_vs_best_default
Without Symptoms,Neural Network,0.12,0.06292035398230089,0.02272727272727275,0.0,0.04019308125502814
Without Symptoms,Neural Network,0.13,0.05731258264672972,0.011494252873563232,0.0,0.04581832977316649
Without Symptoms,Neural Network,0.14,0.05263634492693969,0.0,0.0,0.05263634492693969
Without Symptoms,Neural Network,0.15,0.04880791254554919,-0.011764705882352927,0.0,0.04880791254554919
Without Symptoms,Neural Network,0.16,0.045983986514959954,-0.023809523809523808,0.0,0.045983986514959954
Without Symptoms,Neural Network,0.17,0.045164729715321456,-0.03614457831325302,0.0,0.045164729715321456
Without Symptoms,Neural Network,0.18,0.04484351392186489,-0.04878048780487801,0.0,0.04484351392186489
Without Symptoms,Neural Network,0.19,0.044295859281110024,-0.061728395061728364,0.0,0.044295859281110024
Without Symptoms,Neural Network,0.2,0.0408849557522124,-0.07499999999999998,0.0,0.0408849557522124
Without Symptoms,Neural Network,0.21,0.03980732608939174,-0.08860759493670883,0.0,0.03980732608939174
Without Symptoms,Neural Network,0.22,0.03787156796006353,-0.10256410256410253,0.0,0.03787156796006353
Without Symptoms,Neural Network,0.23,0.036251005631536604,-0.11688311688311687,0.0,0.036251005631536604
Without Symptoms,Neural Network,0.24,0.034885887284583146,-0.13157894736842102,0.0,0.034885887284583146
Without Symptoms,Neural Network,0.25,0.03345132743362832,-0.1466666666666666,0.0,0.03345132743362832
Without Symptoms,Neural Network,0.26,0.03174360200908874,-0.16216216216216217,0.0,0.03174360200908874
Without Symptoms,Neural Network,0.27,0.030418232513031884,-0.1780821917808219,0.0,0.030418232513031884
Without Symptoms,Neural Network,0.28,0.027679449360865277,-0.19444444444444448,0.0,0.027679449360865277
Without Symptoms,Neural Network,0.29,0.02376667082138851,-0.2112676056338028,0.0,0.02376667082138851
Without Symptoms,Neural Network,0.3,0.022402022756005058,-0.2285714285714286,0.0,0.022402022756005058
Without Symptoms,Neural Network,0.31,0.021213287161728864,-0.24637681159420294,0.0,0.021213287161728864
Without Symptoms,Neural Network,0.32,0.020301926080166573,-0.2647058823529412,0.0,0.020301926080166573
Without Symptoms,Neural Network,0.33,0.01888521991810857,-0.28358208955223885,0.0,0.01888521991810857
Without Symptoms,Neural Network,0.34,0.018321265754894067,-0.3030303030303031,0.0,0.018321265754894067
Without Symptoms,Neural Network,0.35,0.018339006126616757,-0.32307692307692304,0.0,0.018339006126616757
Without Symptoms,Neural Network,0.36,0.01710176991150443,-0.34375,0.0,0.01710176991150443
Without Symptoms,Neural Network,0.37,0.016544458491361137,-0.3650793650793651,0.0,0.016544458491361137
Without Symptoms,Neural Network,0.38,0.014753068798172994,-0.3870967741935484,0.0,0.014753068798172994
Without Symptoms,Neural Network,0.39,0.01310024662701291,-0.4098360655737705,0.0,0.01310024662701291
Without Symptoms,Neural Network,0.4,0.011976401179940997,-0.43333333333333335,0.0,0.011976401179940997
Without Symptoms,Neural Network,0.41,0.012335383230838465,-0.4576271186440676,0.0,0.012335383230838465
Without Symptoms,Neural Network,0.42,0.011736344217271898,-0.482758620689655,0.0,0.011736344217271898
Without Symptoms,Neural Network,0.43,0.012417326502095948,-0.5087719298245613,0.0,0.012417326502095948
Without Symptoms,Neural Network,0.44,0.012389380530973455,-0.5357142857142857,0.0,0.012389380530973455
Without Symptoms,Neural Network,0.45,0.011745776347546259,-0.5636363636363636,0.0,0.011745776347546259
Without Symptoms,Neural Network,0.46,0.011687971156997701,-0.5925925925925926,0.0,0.011687971156997701
Without Symptoms,Neural Network,0.47,0.011120387376857579,-0.6226415094339621,0.0,0.011120387376857579
Without Symptoms,Neural Network,0.48,0.010796460176991152,-0.6538461538461537,0.0,0.010796460176991152
Without Symptoms,Neural Network,0.49,0.010817282665278503,-0.6862745098039215,0.0,0.010817282665278503
Without Symptoms,Neural Network,0.5,0.009911504424778759,-0.72,0.0,0.009911504424778759
With Symptoms,Stepwise LR,0.02,0.123575943651797,0.12244897959183675,0.0,0.0011269640599602532
With Symptoms,Stepwise LR,0.03,0.11709333090046528,0.11340206185567012,0.0,0.0036912690447951646
With Symptoms,Stepwise LR,0.04,0.11120206489675516,0.10416666666666669,0.0,0.007035398230088474
With Symptoms,Stepwise LR,0.05,0.1047321844434094,0.09473684210526317,0.0,0.009995342338146224
With Symptoms,Stepwise LR,0.06,0.09934852193560535,0.08510638297872342,0.0,0.014242138956881936
With Symptoms,Stepwise LR,0.07,0.09423161100009515,0.07526881720430108,0.0,0.018962793795794075
With Symptoms,Stepwise LR,0.08,0.08996537129665255,0.06521739130434784,0.0,0.024747979992304714
With Symptoms,Stepwise LR,0.09,0.08410191578333172,0.05494505494505496,0.0,0.02915686083827676
With Symptoms,Stepwise LR,0.1,0.07972468043264502,0.04444444444444445,0.0,0.03528023598820057
With Symptoms,Stepwise LR,0.11,0.07682609127970566,0.03370786516853934,0.0,0.04311822611116632
With Symptoms,Stepwise LR,0.12,0.07414320193081256,0.02272727272727275,0.0,0.05141592920353981
With Symptoms,Stepwise LR,0.13,0.07062760655070695,0.011494252873563232,0.0,0.059133353677143716
With Symptoms,Stepwise LR,0.14,0.0676600123482198,0.0,0.0,0.0676600123482198
With Symptoms,Stepwise LR,0.15,0.06274856845393025,-0.011764705882352927,0.0,0.06274856845393025
With Symptoms,Stepwise LR,0.16,0.06056468605141171,-0.023809523809523808,0.0,0.06056468605141171
