Scenario,Model,threshold,n_flagged,pct_flagged,sensitivity,sens_ci_low,sens_ci_high,specificity,spec_ci_low,spec_ci_high,ppv,ppv_ci_low,ppv_ci_high,npv,npv_ci_low,npv_ci_high,tp,fp,fn,tn,is_youden
With Symptoms,Stepwise LR,0.4,482,8.530973451327434,0.347661188369153,0.3078716915995397,0.3861685002922488,0.9573986416958222,0.9501842825178304,0.9638472072808503,0.5705394190871369,0.5172379102199404,0.6177203572058606,0.9001547987616099,0.8901301420775425,0.91014161964179,275,207,516,4652,False
With Symptoms,Stepwise LR,0.5,316,5.592920353982301,0.2604298356510746,0.22522995283018868,0.29474849485336957,0.9773615970364272,0.9717935270991882,0.9819467958634764,0.6518987341772152,0.5904559270516717,0.7097871433122,0.890326209223847,0.879796070076143,0.9004351010835185,206,110,585,4749,False
With Symptoms,XGBoost,0.1,2459,43.52212389380531,0.8141592920353983,0.7800203634085213,0.8450144769613948,0.6264663511010496,0.6082246798434237,0.6426503123616291,0.2618950793005287,0.24053391053391054,0.28177278335422384,0.9539329363835788,0.9451853338761601,0.962389796393639,644,1815,147,3044,False
With Symptoms,XGBoost,0.129,1980,35.04424778761062,0.7597977243994943,0.7250585522746648,0.7924504142646641,0.7161967483021198,0.6991089529116237,0.7312146384068543,0.30353535353535355,0.27810255700520675,0.32663759348810995,0.9482288828337875,0.9398615558564216,0.9564176001502487,601,1379,190,3480,True
With Symptoms,XGBoost,0.15,1704,30.159292035398227,0.7029077117572693,0.66705165665557,0.7419399088455242,0.7637373945256225,0.7483120480159855,0.7784523093341357,0.32629107981220656,0.2985468260691313,0.35099023188807554,0.9404460212873796,0.9311545014389231,0.9491184679614889,556,1148,235,3711,False
With Symptoms,XGBoost,0.2,1233,21.82300884955752,0.5891276864728192,0.5495193685860073,0.6290575654344128,0.8421485902449064,0.8278203516561301,0.8541124665994915,0.37793998377939986,0.3455895952278875,0.40829565603708234,0.926420647498302,0.917019508735643,0.9352635682243642,466,767,325,4092,False
With Symptoms,XGBoost,0.25,900,15.929203539823009,0.504424778761062,0.46295652479280797,0.5444915174980828,0.8968923646840914,0.8864793792760769,0.9065617563968854,0.44333333333333336,0.4068446246148857,0.4803408000431952,0.9174736842105263,0.9074671467792896,0.9269236075132512,399,501,392,4358,False
With Symptoms,XGBoost,0.3,691,12.230088495575222,0.42351453855878635,0.3831530099476977,0.4619292440101688,0.9267338958633463,0.9179128627381389,0.9352745441664633,0.48480463096960924,0.43854676184564456,0.5270077924639968,0.9080459770114943,0.8978907436458203,0.9176701831368418,335,356,456,4503,False
With Symptoms,XGBoost,0.4,421,7.451327433628318,0.3059418457648546,0.26657108423217196,0.34411131226862374,0.963161144268368,0.9564216854048987,0.9691059208943479,0.5748218527315915,0.5216373663502305,0.6250148104265403,0.8950086058519794,0.883924393586039,0.905073653703024,242,179,549,4680,False
With Symptoms,XGBoost,0.5,260,4.601769911504425,0.21238938053097345,0.1774941644113667,0.24709482674679017,0.9810660629759209,0.9758935393845902,0.9855407688548351,0.6461538461538462,0.577020690979501,0.7130973674555127,0.8844155844155844,0.8735317855603398,0.8943564818146044,168,92,623,4767,False
With Symptoms,Random Forest,0.1,2699,47.769911504424776,0.8470290771175727,0.8164755789956432,0.8740408236364385,0.5824243671537354,0.5640526731889485,0.5990645701861205,0.2482400889218229,0.22743649043713848,0.26868504604114607,0.9589969501863775,0.9504828200608296,0.9667374880610625,670,2029,121,2830,False
With Symptoms,Random Forest,0.149,1880,33.27433628318584,0.7307206068268015,0.6959655235650101,0.7670248906215871,0.7320436303766207,0.7139927662329626,0.746413807390926,0.3074468085106383,0.28096726708506975,0.3319131852784752,0.943501326259947,0.9343631693832802,0.9525205294710357,578,1302,213,3557,True
With Symptoms,Random Forest,0.15,1867,33.04424778761062,0.7281921618204804,0.6931002854841029,0.7650745334168143,0.734307470672978,0.7166102933130797,0.7488764630818465,0.3085163363685056,0.28179974099646227,0.3331534772182254,0.9431667988369019,0.9338800923319801,0.9521159726460416,576,1291,215,3568,False
With Symptoms,Random Forest,0.2,1291,22.849557522123895,0.6093552465233881,0.5694979179466175,0.650065441197976,0.8335048363860876,0.819804923137576,0.8457068810973255,0.37335398915569323,0.34134420372544544,0.4020931613439072,0.9291121816930489,0.9196506471942337,0.9378222648643102,482,809,309,4050,False
